startX,startY,targetX,targetY
0 ,0 ,400 ,240 
0 ,160 ,400 ,400 
0 ,320 ,400 ,560 
160 ,0 ,560 ,240 
160,160,560 ,400 
160 ,320 ,560 ,560 
320 ,0 ,720 ,240 
320 ,160 ,720 ,400 
320 ,320 ,720 ,560 
480 ,0 ,880 ,240 
480 ,160 ,880 ,400 
480 ,320 ,880 ,560 
640 ,0 ,240 ,240 
640 ,160 ,240 ,400 
640 ,320 ,240 ,560 
800 ,0 ,400 ,240 
800 ,160 ,400,400
800 ,320 ,400 ,560 
420 ,260 ,20 ,20 
420 ,420 ,20 ,180 
420 ,580 ,20 ,340 
580 ,260 ,180 ,20 
580 ,420 ,180,180 
580 ,580 ,180 ,340 
740 ,260 ,340 ,20 
740 ,420 ,340 ,180 
740 ,580 ,340 ,340 
900 ,260 ,500 ,20 
900 ,420 ,500 ,180 
900 ,580 ,500 ,340 
260 ,260 ,660 ,20 
260 ,420 ,660 ,180 
260 ,580 ,660 ,340 
420 ,260 ,820 ,20 
420,420 ,820 ,180 
420 ,580 ,820 ,340 
